title,country,genres,language,writer_count,title_adaption,censor_rating,release_date,runtime,dvd_release_date,users_votes,comments,likes,overall_views,dislikes,ratings_imdb,ratings_tomatoes,ratings_metacritic,special_award,awards_win,awards_nomination,revenue_category
Pooh's Heffalump Movie ,USA,"Animation, Comedy, Family, Fantasy, Musical, Mystery",English,3.0,True,G,11-Feb-05,68 min,24-May-05,"5,654",,,,,6.4/10,80%,64/100,0,0,1,High
Yeh Jawaani Hai Deewani ,India,"Comedy, Drama, Musical, Romance","Hindi, English, French",2.0,True,Not Rated,31-May-13,160 min,15-Jul-13,"33,860",9.0,124.0,127528.0,12.0,7.1/10,67%,0,0,22,92,Low
Tae Guk Gi: The Brotherhood of War ,South Korea,"Action, Drama, War",Korean,4.0,False,R,24-Sep-04,140 min,15-Feb-05,"35,697",268.0,614.0,351123.0,18.0,8.1/10,80%,64/100,0,12,7,Low
"Book of Eli, The ",USA,"Action, Adventure, Drama, Thriller",English,1.0,False,R,15-Jan-10,118 min,15-Jun-10,"2,71,524",,,,,6.9/10,47%,53/100,0,3,16,High
Blind Dating ,USA,"Comedy, Romance",English,1.0,False,PG-13,26-Apr-07,95 min,05-Feb-08,"11,251",116.0,693.0,970306.0,36.0,6.1/10,25%,0,0,0,0,Low
"Sweetest Thing, The ",USA,"Comedy, Romance",English,1.0,False,R,12-Apr-02,88 min,20-Aug-02,"52,005",41.0,353.0,547201.0,33.0,5.1/10,26%,32/100,0,1,4,High
Jet Lag ,"France, UK","Comedy, Romance",French,2.0,False,R,30-Oct-02,91 min,20-Jan-04,"5,498",,,,,6.2/10,57%,53/100,0,0,1,Low
Journey to the Center of the Earth ,USA,"Action, Adventure, Family, Fantasy, Sci-Fi","English, Icelandic, Italian",4.0,True,PG,11-Jul-08,93 min,28-Oct-08,"1,04,379",1.0,56.0,54156.0,9.0,5.8/10,61%,57/100,0,3,3,High
Radio ,USA,"Biography, Drama, Sport",English,1.0,False,PG,24-Oct-03,109 min,27-Jan-04,"35,956",159.0,1224.0,355936.0,57.0,6.9/10,36%,38/100,0,3,5,High
,USA,"Comedy, Drama, Romance","English, French, Swedish",2.0,False,PG-13,07-Aug-09,95 min,22-Dec-09,"4,39,998",80.0,1646.0,561553.0,47.0,7.7/10,85%,76/100,1,17,54,High
American Teen ,USA,Documentary,English,1.0,False,PG-13,15-Aug-08,95 min,21-Dec-08,"3,979",37.0,95.0,83185.0,16.0,6.5/10,70%,66/100,0,2,5,Low
Romeo and Juliet ,"UK, Italy, Switzerland","Drama, Romance","English, Latin",3.0,True,PG-13,11-Oct-13,113 min,04-Feb-14,"10,219",,,,,5.8/10,24%,41/100,0,2,2,Low
Winnebago Man ,USA,"Documentary, Biography, Comedy",English,6.0,False,Not Rated,14-Mar-09,85 min,02-Nov-10,"4,438",,,,,7.2/10,90%,71/100,0,5,0,Low
Man of Steel ,"USA, UK","Action, Adventure, Sci-Fi",English,5.0,True,PG-13,14-Jun-13,143 min,12-Nov-13,"6,46,109",42912.0,133416.0,40924806.0,6630.0,7.1/10,56%,55/100,0,7,46,High
Cracks ,"UK, Ireland, Spain, France, Switzerland","Drama, Thriller",English,4.0,True,R,18-Mar-11,104 min,19-Jul-11,"17,952",22.0,433.0,288245.0,11.0,6.7/10,43%,54/100,0,0,3,Low
Somm ,USA,Documentary,"English, Italian, German, French",1.0,False,Not Rated,21-Jun-13,94 min,,"3,962",1.0,9.0,2478.0,0.0,7.0/10,79%,58/100,0,1,2,Low
In the Cut ,"UK, Australia, USA","Mystery, Thriller",English,4.0,True,R,31-Oct-03,119 min,10-Feb-04,"20,484",35.0,128.0,439619.0,32.0,5.3/10,33%,46/100,0,1,2,Low
Clandestine Childhood ,"Argentina, Spain, Brazil",Drama,"Spanish, Portuguese",2.0,True,NOT RATED,20-Sep-12,112 min,07-May-13,"2,019",0.0,1.0,3768.0,1.0,7.1/10,40%,55/100,0,21,18,Low
GasLand ,USA,Documentary,English,1.0,False,Not Rated,17-Jan-11,107 min,14-Dec-10,"9,910",1732.0,7340.0,2430754.0,323.0,7.7/10,97%,0,1,7,6,Low
In Praise of Love ,"France, Switzerland",Drama,"French, English",1.0,False,PG,16-May-01,97 min,22-Jul-03,"2,542",6.0,104.0,35053.0,2.0,6.5/10,51%,62/100,0,2,3,Low
Sweetgrass ,"France, UK, USA","Documentary, Adventure, Western",English,,False,Unrated,22-Apr-11,101 min,03-Aug-10,814,22.0,265.0,140425.0,9.0,6.9/10,97%,80/100,0,1,10,Low
Pride and Glory ,"USA, Germany","Crime, Drama, Thriller","English, Spanish",5.0,True,R,24-Oct-08,130 min,27-Jan-09,"57,073",367.0,1280.0,1704822.0,79.0,6.7/10,34%,45/100,0,0,2,High
"Texas Chainsaw Massacre: The Beginning, The ",USA,"Horror, Thriller",English,3.0,True,R,06-Oct-06,91 min,16-Jan-07,"64,243",396.0,2142.0,726464.0,128.0,5.9/10,12%,30/100,0,0,5,High
Colour Me Kubrick: A True...ish Story ,"UK, France","Comedy, Drama",English,1.0,False,NOT RATED,04-Jan-06,86 min,27-Mar-07,"5,867",9.0,45.0,29958.0,2.0,6.2/10,50%,57/100,0,0,2,Low
Matchstick Men ,"USA, UK","Comedy, Crime, Drama, Thriller",English,3.0,True,PG-13,12-Sep-03,116 min,01-Jun-04,"1,17,827",11.0,137.0,106961.0,10.0,7.3/10,82%,61/100,0,0,5,High
Halloween II ,USA,Horror,English,1.0,False,R,28-Aug-09,105 min,12-Jan-10,"44,420",128.0,265.0,112407.0,19.0,4.9/10,21%,35/100,0,1,1,High
Thr3e ,"Poland, USA, UK","Drama, Horror, Mystery, Thriller",English,2.0,True,PG-13,05-Jan-07,101 min,24-Apr-07,"4,283",,,,,5.1/10,5%,34/100,0,0,0,Low
"Last Exorcism, The ","France, USA","Drama, Horror, Thriller",English,2.0,False,PG-13,27-Aug-10,87 min,04-Jan-11,"45,770",38.0,63.0,92316.0,9.0,5.6/10,72%,63/100,0,7,10,High
Horton Hears a Who! ,USA,"Animation, Adventure, Comedy, Family, Fantasy",English,3.0,True,G,14-Mar-08,86 min,09-Dec-08,"1,21,102",151.0,799.0,609955.0,73.0,6.8/10,79%,71/100,0,1,18,High
About Last Night ,USA,"Comedy, Romance",English,4.0,True,R,14-Feb-14,100 min,19-May-14,"21,092",772.0,25855.0,8313723.0,868.0,6.1/10,69%,62/100,0,0,1,High
Italian for Beginners ,"Denmark, Sweden","Comedy, Drama, Romance","Danish, Italian, English",2.0,True,R,10-May-02,112 min,15-Oct-02,"12,212",5.0,80.0,78181.0,7.0,7.1/10,88%,77/100,0,20,22,Low
Sweet Sixteen ,"UK, Germany, Spain","Crime, Drama","English, Scots",1.0,True,R,04-Oct-02,106 min,07-Oct-03,"12,080",110.0,241.0,351459.0,22.0,7.5/10,97%,86/100,0,10,16,Low
"Cantante, El ",USA,"Biography, Drama, Music","Spanish, English",5.0,True,R,03-Aug-07,106 min,30-Oct-07,"4,464",28.0,230.0,207879.0,15.0,5.5/10,25%,46/100,0,0,0,High
Pulse ,USA,"Horror, Sci-Fi",English,3.0,True,PG-13,11-Aug-06,90 min,05-Dec-06,"27,053",45.0,250.0,63300.0,11.0,4.7/10,11%,27/100,0,0,1,High
Are We There Yet? ,"USA, Canada","Adventure, Comedy, Family, Romance",English,6.0,True,PG,21-Jan-05,95 min,24-May-05,"26,808",171.0,634.0,485453.0,84.0,4.7/10,12%,27/100,0,1,8,High
School for Scoundrels ,USA,Comedy,English,2.0,True,PG-13,29-Sep-06,100 min,13-Feb-07,"28,014",88.0,521.0,526397.0,42.0,5.9/10,25%,44/100,0,0,2,High
Underclassman ,USA,"Action, Comedy, Crime, Drama, Thriller",English,5.0,True,PG-13,02-Sep-05,95 min,17-Jan-06,"5,257",46.0,240.0,301443.0,11.0,4.2/10,6%,19/100,0,0,0,High
"Quiet, The ",USA,"Crime, Drama, Thriller","English, American Sign Language",2.0,False,R,25-Aug-06,96 min,13-Feb-07,"14,496",,,,,6.4/10,21%,29/100,0,1,0,Low
Mother and Child ,"USA, Spain","Drama, Romance",English,1.0,False,R,02-Jul-10,125 min,14-Dec-10,"10,994",,,,,7.2/10,78%,64/100,0,4,12,Low
28 Days Later ,UK,"Drama, Horror, Sci-Fi, Thriller","English, Spanish",1.0,False,R,27-Jun-03,113 min,21-Oct-03,"3,44,873",66.0,264.0,268571.0,32.0,7.6/10,86%,73/100,0,10,31,High
"Emperor's New Clothes, The ","Italy, UK, Germany","Comedy, Drama, Romance",English,4.0,True,PG,07-Dec-01,107 min,02-Aug-02,"2,341",4.0,26.0,12123.0,0.0,7.0/10,73%,60/100,0,1,0,Low
